id,code,name,category,description,eta,status,syarat,body
mhzen5t,PINDAH_DOMISILI,Surat Keterangan Pindah Domisili,Kependudukan,Wewenang desa. Syarat mutasi kepindahan di Dukcapil dengan form F-1.02.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Form F-1.02 dari Dukcapil|Surat pengantar RT/RW,
nlglh4c,SP-KTP,Surat Pengantar Pembuatan KTP,Kependudukan,Pengantar pembuatan KTP. Wewenang penuh.,1 hari kerja,Disetujui,Fotokopi KK|Pas foto 3x4,
nu2jknz,SP-SANGGAR,Surat Pengantar Pendirian Sanggar / Kursus,Surat Umum & Lainnya,PENGGANTI Surat Izin Mendirikan Sanggar (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Proposal kegiatan,
nvg3isq,SP-IZIN-REKLAME,Surat Pengantar Izin Reklame,Surat Umum & Lainnya,PENGGANTI Surat Izin Reklame (bukan wewenang). Surat pengantar ke Dinas Perizinan.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Desain reklame,
o0n80mk,IZIN_KERAMAIAN,Surat Keterangan Izin Keramaian,Usaha & Ekonomi,Keramaian/hajatan.,2 hari kerja,Disetujui,Proposal acara|Pengantar RT/RW|Persetujuan tetangga,
o7t1h3p,SK_KELAKUAN_BAIK,Surat Keterangan Kelakuan Baik,Sosial & Ekonomi,Kebutuhan lamaran kerja/organisasi.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
ovsiijh,BEDA_NAMA,Surat Keterangan Beda Nama,Kependudukan,Penyamaan 2 nama berbeda di 2 dokumen.,1 hari kerja,Disetujui,Fotokopi kedua dokumen|Fotokopi KTP & KK|Surat pengantar RT/RW,
p3ia084,DISPENSA_NIKAH,Surat Dispensasi Nikah (Pengantar PA),Pernikahan & Keluarga,Dispensasi nikah di bawah umur. Pengantar ke Pengadilan Agama.,3 hari kerja,Disetujui,Fotokopi KTP & KK kedua calon|Surat pengantar RT/RW|Surat keterangan hamil (jika ada),
pwn2u3h,SK_BELUM_MENIKAH,Surat Keterangan Belum Menikah,Pernikahan & Keluarga,Syarat utama akta nikah KUA.,1 hari kerja,Disetujui,Fotokopi KTP|Fotokopi KK|Materai 10000,
q6he9se,SP-INSTANSI,Surat Pengantar ke Instansi Lain,Surat Dinas,Safety net untuk keperluan yang tidak tercakup surat spesifik.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat pengantar RT/RW,
q9r2ohd,SK_JUAL_BELI_TANAH,Surat Keterangan Jual Beli Tanah,Tanah & Properti,Tahap awal AJB di PPAT. SANGAT umum dibutuhkan.,2 hari kerja,Disetujui,Fotokopi KTP & KK kedua belah pihak|Pengantar RT/RW,
r1o3095,SK_LANSIA,Surat Keterangan Lansia,Kesehatan & Khusus,Bantuan lansia.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
r7cggcd,SK_YATIM_PIATU,Surat Keterangan Anak Yatim / Piatu,Kesehatan & Khusus,Beasiswa yatim.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Akta kematian orang tua,
rbrcrfn,SK_WNI_KETURUNAN,Surat Keterangan WNI Keturunan,Surat Umum & Lainnya,Keperluan kependudukan dan hukum.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Dokumen keturunan (jika ada),
rruw7u2,SKD,Surat Keterangan Domisili,Kependudukan,Surat paling fundamental dan paling banyak dipakai. Wewenang penuh desa. Semua keperluan domisili.,1 hari kerja,Disetujui,Fotokopi KTP|Fotokopi Kartu Keluarga|Surat pengantar RT/RW,
ryg38u0,SKU,Surat Keterangan Usaha (SKU),Usaha & Ekonomi,SURAT PALING PENTING kategori usaha. Syarat NIB.,2 hari kerja,Disetujui,Fotokopi KTP|Foto tempat usaha|Pengantar RT/RW,
rzibhzs,SK-NIKAH,Surat Keterangan Nikah (N-1 s/d N-6),Pernikahan & Keluarga,SATUKAN 6 formulir menjadi 1 template dengan switch N-1 sd N-6.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Akta kelahiran|Pas foto 2x3 & 4x6|Surat pengantar RT/RW,
saunrw5,SP-IMB,Surat Pengantar Izin Bangunan (IMB/PBG),Surat Umum & Lainnya,PENGGANTI Surat Pengantar IMB/PBG (bukan wewenang).,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW|Denah bangunan,
tceu2oa,SK_BEASISWA,Surat Keterangan untuk Beasiswa,Pendidikan,Akses beasiswa.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan aktif kuliah/sekolah,
u8n72lu,SK_PUTUS_SEKOLAH,Surat Keterangan Putus Sekolah,Pendidikan,Akses program kesetaraan dan pelatihan.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Ijazah terakhir (jika ada),
vf6421b,SK_TANAH_MILIK,Surat Keterangan Kepemilikan Tanah,Tanah & Properti,KETERANGAN BUKAN bukti hukum. Untuk legal -> BPN.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
x44an0v,SK_DISABILITAS,Surat Keterangan Penyandang Disabilitas,Kesehatan & Khusus,Akses program ATENSI.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan rumah sakit,
xm8xsfl,SK_PENGHASILAN,Surat Keterangan Penghasilan,Sosial & Ekonomi,Untuk KUR (Kredit Usaha Rakyat) dan lainnya.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
xukkj66,WALI_NIKAH,Surat Keterangan Wali Nikah Hakim,Pernikahan & Keluarga,Wali tidak ada/berhalangan. Dasar penunjukan wali hakim.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Surat keterangan tidak ada wali dari RT/RW|Surat keterangan kematian wali (jika ada),
y5386rz,SP-AKTA-KEMATIAN,Surat Pengantar Penerbitan Akta Kematian,Surat Umum & Lainnya,PENGGANTI Surat Keterangan Kematian (bukan wewenang). Surat pengantar ke Dukcapil.,1 hari kerja,Disetujui,Surat Keterangan RS/Bidan|Fotokopi KTP & KK pelapor,
ylmv3td,SPTJM,Surat Pernyataan Tanggung Jawab Mutlak (SPTJM),Surat Umum & Lainnya,Saat dokumen primer tidak ada. WAJIB MATERAI.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Materai 10000,
z4em1ki,PENDATANG,Surat Keterangan Pendatang / Numpang KK,Kependudukan,Wewenang desa. Catat pendatang yang numpang KK. Syarat KK baru.,1 hari kerja,Disetujui,Fotokopi KTP pendatang|KK baru pemilik|Surat pengantar RT/RW,
z6elk1v,SK_NIKAH_NONMUSLIM,Surat Keterangan Nikah Non-Muslim,Pernikahan & Keluarga,Non-muslim yang menikah di Catatan Sipil.,2 hari kerja,Disetujui,Fotokopi KTP & KK|Akta kelahiran|Pas foto 2x3 & 4x6,
zc5ihxt,SP-AKTA-KELAHIRAN,Surat Pengantar Penerbitan Akta Kelahiran,Surat Umum & Lainnya,PENGGANTI Surat Keterangan Kelahiran (bukan wewenang). Surat pengantar ke Dukcapil.,1 hari kerja,Disetujui,Surat Keterangan Bidan/RS|Fotokopi KTP & KK orang tua,
zc9ymp5,SP-PTSL,Surat Pengantar PTSL,Surat Umum & Lainnya,PTSL sering dilakukan BPN.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
zd0tzqd,VERIF-DTKS,Surat Pengantar Verifikasi DTKS,Sosial & Ekonomi,Desa hanya mengecek apakah warga ada di DTKS.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Formulir verifikasi DTKS,
zq4ksjd,SK_NELAYAN,Surat Keterangan Nelayan,Pertanian & Lingkungan,Kartu nelayan.,1 hari kerja,Disetujui,Fotokopi KTP & KK|Pengantar RT/RW,
zrwnsf2,SK_HIBAH_TANAH,Surat Keterangan Hibah Tanah,Tanah & Properti,Tahap awal proses hibah di PPAT.,2 hari kerja,Disetujui,Fotokopi KTP & KK kedua belah pihak|Pengantar RT/RW,
